Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
J. Pastore;29;Argentina;Roma;€21.5M;Right;Centrocampista;27;86;69;69;79;65;69
Pedro;30;Spain;Chelsea;€21M;Right;Centrocampista;11;85;79;74;82;56;49
G. Bonaventura;28;Italy;Milan;€22M;Right;Centrocampista;5;85;75;77;77;68;72
R. Bürki;27;Switzerland;Borussia Dortmund;€18.5M;Right;Portero;21;23;44;54;49;35;18
Taison;30;Brazil;Shakhtar Donetsk;€21M;Right;Centrocampista;7;85;93;91;90;56;49
S. Nzonzi;29;France;Roma;€17M;Right;Centrocampista;15;81;44;55;36;87;84
Marlos;30;Ukraine;Shakhtar Donetsk;€21M;Left;Centrocampista;11;88;85;82;92;58;51
A. Ramsey;27;Wales;Arsenal;€25M;Right;Centrocampista;10;82;64;69;73;73;69
K. Trippier;27;England;Tottenham Hotspur;€18.5M;Right;Lateral;12;80;76;75;74;70;79
A. Kolarov;32;Serbia;Roma;€12.5M;Left;Lateral;11;76;73;70;63;85;81
G. Sigurðsson;28;Iceland;Everton;€22.5M;Right;Centrocampista;10;85;58;55;68;57;55
S. Giovinco;31;Italy;Toronto FC;€20M;Right;Delantero;21;86;88;80;94;75;26
M. Arnautovi?;29;Austria;West Ham United;€22M;Right;Delantero;7;85;79;83;70;84;44
N. Gaitán;30;Argentina;Dalian YiFang FC;€21M;Left;Centrocampista;9;83;84;79;87;57;40
J. Henderson;28;England;Liverpool;€18M;Right;Centrocampista;8;80;67;66;70;77;80
M. Kruse;30;Germany;SV Werder Bremen;€21.5M;Left;Delantero;10;85;69;67;74;63;41
M. Parolo;33;Italy;Lazio;€9M;Right;Centrocampista;16;79;68;69;67;80;80
L. Fejsa;29;Serbia;SL Benfica;€17M;Right;Centrocampista;5;72;52;55;57;91;85
A. Rami;32;France;Olympique de Marseille;€12.5M;Right;Defensa;23;68;52;67;54;83;83
V. ?orluka;32;Croatia;Lokomotiv Moscow;€12.5M;Right;Defensa;14;73;49;65;57;81;77
G. Wijnaldum;27;Netherlands;Liverpool;€23M;Right;Centrocampista;8;84;77;76;80;64;76
F. Fazio;31;Argentina;Roma;€15M;Right;Defensa;20;72;36;43;29;84;85
O. Giroud;31;France;Chelsea;€20M;Left;Delantero;9;83;43;50;57;76;42
Marcano;31;Spain;Roma;€15M;Left;Defensa;15;67;67;69;58;82;82
A. Guardado;31;Mexico;Real Betis;€19M;Left;Centrocampista;18;84;74;73;81;72;73
E. Garay;31;Argentina;Valencia CF;€15M;Right;Defensa;24;73;34;36;54;77;83
Jardel;32;Brazil;SL Benfica;€12.5M;Right;Defensa;33;60;50;63;35;83;82
S. Sirigu;31;Italy;Torino;€13.5M;Right;Portero;1;18;50;51;52;34;20
E. Viviano;32;Italy;Sporting CP;€12.5M;Left;Portero;1;22;30;33;35;18;10
L. Koscielny;32;France;Arsenal;€12.5M;Right;Defensa;6;66;64;66;65;86;84
A. Consigli;31;Italy;Sassuolo;€13.5M;Right;Portero;47;23;48;34;57;11;15
L. Biglia;32;Argentina;Milan;€12.5M;Right;Centrocampista;21;84;65;65;76;83;82
Dani Alves;35;Brazil;Paris Saint-Germain;€4.8M;Right;Lateral;13;86;77;79;84;78;79
David Villa;36;Spain;New York City FC;€8M;Right;Delantero;7;85;72;67;71;67;29
Aduriz;37;Spain;Athletic Club de Bilbao;€8M;Right;Delantero;20;82;64;66;50;82;23
P. ?ech;36;Czech Republic;Arsenal;€3M;Left;Portero;1;22;35;38;46;17;23
Casillas;37;Spain;FC Porto;€1.5M;Left;Portero;1;23;59;57;62;23;22
M. Rashford;20;England;Manchester United;€27M;Right;Centrocampista;11;80;90;93;88;70;42
Laure Santeiro;30;Brazil;Fluminense;€17M;Left;Centrocampista;8;82;86;78;89;41;31
L. Bailey;20;Jamaica;Bayer 04 Leverkusen;€26.5M;Left;Centrocampista;9;82;94;90;86;58;21
M. Akanji;22;Switzerland;Borussia Dortmund;€21M;Right;Defensa;5;75;72;86;69;75;79
F. de Jong;21;Netherlands;Ajax;€26M;Right;Centrocampista;7;88;74;76;84;62;78
Nélson Semedo;24;Portugal;FC Barcelona;€20M;Right;Lateral;2;78;91;92;88;77;80
Pablo Fornals;22;Spain;Villarreal CF;€24M;Right;Centrocampista;8;81;71;66;79;69;74
Fabián;22;Spain;Napoli;€26M;Left;Centrocampista;8;83;69;67;73;66;77
E. Bailly;24;Ivory Coast;Manchester United;€21M;Right;Defensa;2;65;68;79;65;87;81
Dani Ceballos;21;Spain;Real Madrid;€25M;Right;Centrocampista;21;85;73;67;82;76;76
H. Lozano;22;Mexico;PSV;€24M;Right;Delantero;22;80;94;93;91;64;45
Morales;30;Spain;Levante UD;€17M;Right;Delantero;11;83;88;88;78;58;59
J. Seri;26;Ivory Coast;Fulham;€20.5M;Right;Centrocampista;24;84;75;70;82;73;74
M. Politano;24;Italy;Inter;€22.5M;Left;Centrocampista;16;83;85;84;90;63;38
M. Brozovi?;25;Croatia;Inter;€18.5M;Right;Centrocampista;77;83;69;70;74;79;81
Williams;24;Spain;Athletic Club de Bilbao;€24.5M;Right;Centrocampista;9;81;92;94;80;66;21
A. Correa;23;Argentina;Atlético Madrid;€24.5M;Right;Centrocampista;11;87;87;82;87;41;48
A. Christensen;22;Denmark;Chelsea;€21.5M;Right;Defensa;6;74;66;70;61;73;82
João Mário;25;Portugal;Inter;€22.5M;Right;Centrocampista;10;83;73;69;81;60;72
T. Strakosha;23;Albania;Lazio;€17M;Right;Portero;1;15;41;46;31;20;24
E. Hysaj;24;Albania;Napoli;€20M;Right;Lateral;23;77;79;82;76;79;80
P. Zieli?ski;24;Poland;Napoli;€24.5M;Right;Centrocampista;20;85;82;84;79;56;75
Ricardo Pereira;24;Portugal;Leicester City;€19M;Right;Lateral;14;79;88;87;82;75;79
Grimaldo;22;Spain;SL Benfica;€20.5M;Left;Lateral;3;82;85;83;85;68;80
R. Guerreiro;24;Portugal;Borussia Dortmund;€24M;Left;Centrocampista;13;84;82;68;88;69;84
A. Doucouré;25;France;Watford;€19.5M;Right;Centrocampista;16;80;63;70;60;78;82
J. Martínez;25;Venezuela;Atlanta United;€22.5M;Right;Delantero;17;78;89;92;91;66;20
C. Bacca;31;Colombia;Villarreal CF;€16M;Right;Delantero;7;80;73;75;73;58;34
A. Plea;25;France;Borussia Mönchengladbach;€22M;Right;Centrocampista;14;79;78;77;79;63;39
B. Davies;25;Wales;Tottenham Hotspur;€18.5M;Left;Lateral;4;79;76;74;70;76;79
M. Nastasi?;25;Serbia;FC Schalke 04;€18.5M;Left;Defensa;5;65;65;77;65;78;78
A. Milik;24;Poland;Napoli;€25.5M;Left;Delantero;7;78;69;74;68;67;36
M. Sabitzer;24;Austria;RB Leipzig;€22.5M;Right;Centrocampista;9;81;83;77;75;70;55
B. Mendy;23;France;Manchester City;€20M;Left;Lateral;22;79;77;86;68;75;79
C. Kramer;27;Germany;Borussia Mönchengladbach;€17M;Right;Centrocampista;6;81;52;52;66;78;81
S. Vrsaljko;26;Croatia;Inter;€18M;Right;Lateral;2;79;82;79;67;75;79
T. Hazard;25;Belgium;Borussia Mönchengladbach;€21.5M;Right;Centrocampista;16;83;86;77;91;57;41
K. Bellarabi;28;Germany;Bayer 04 Leverkusen;€18M;Right;Centrocampista;38;83;90;91;86;59;38
S. Zaza;27;Italy;Torino;€21M;Left;Delantero;11;79;79;79;76;87;40
F. Ghoulam;27;Algeria;Napoli;€16.5M;Left;Lateral;31;80;71;82;72;74;76
B. Lecomte;27;France;Montpellier HSC;€15M;Left;Portero;40;23;44;40;36;23;24
J. Ili?i?;30;Slovenia;Atalanta;€17M;Left;Centrocampista;7;87;67;70;70;58;46
K. Volland;25;Germany;Bayer 04 Leverkusen;€22M;Left;Delantero;31;81;78;77;73;78;45
Paco Alcácer;24;Spain;Borussia Dortmund;€23.5M;Right;Delantero;9;81;82;80;83;59;26
Vitolo;28;Spain;Atlético Madrid;€18M;Right;Centrocampista;23;83;78;77;74;61;25
G. Xhaka;25;Switzerland;Arsenal;€22M;Left;Centrocampista;10;80;47;49;49;92;71
D. Tadi?;29;Serbia;Ajax;€17.5M;Left;Centrocampista;10;86;69;68;82;56;31
C. Aránguiz;29;Chile;Bayer 04 Leverkusen;€17M;Right;Centrocampista;20;82;76;65;80;80;74
S. Verdi;25;Italy;Napoli;€19.5M;Left;Centrocampista;9;86;88;86;92;48;36
D. Lovren;28;Croatia;Liverpool;€16M;Right;Defensa;6;67;54;55;50;87;81
G. Medel;30;Chile;Be?ikta? JK;€13M;Right;Defensa;17;71;72;70;78;89;84
X. Shaqiri;26;Switzerland;Liverpool;€19M;Left;Centrocampista;23;84;84;77;84;61;55
J. Corona;25;Mexico;FC Porto;€21.5M;Right;Centrocampista;17;84;87;79;90;45;45
A. Areola;25;France;Paris Saint-Germain;€16.5M;Right;Portero;23;22;54;52;53;26;23
K. Vogt;26;Germany;TSG 1899 Hoffenheim;€17.5M;Right;Defensa;22;71;66;82;59;81;82
Ander Herrera;28;Spain;Manchester United;€17.5M;Right;Centrocampista;21;82;75;68;79;86;86
E. Salvio;27;Argentina;SL Benfica;€18.5M;Right;Centrocampista;18;84;89;87;83;69;60
S. El Shaarawy;25;Italy;Roma;€21M;Right;Centrocampista;92;86;86;87;85;54;36
C. Smalling;28;England;Manchester United;€16M;Right;Defensa;12;58;61;74;55;83;81
Hulk;31;Brazil;Shanghai SIPG FC;€15.5M;Left;Centrocampista;10;79;81;80;69;83;48
S. Kagawa;29;Japan;Borussia Dortmund;€17.5M;Right;Centrocampista;23;83;74;60;87;30;59
M. Lanzini;25;Argentina;West Ham United;€23M;Right;Centrocampista;10;86;84;78;86;48;27
F. Smolov;28;Russia;Lokomotiv Moscow;€18.5M;Right;Delantero;11;78;88;85;75;67;32
L. Stindl;29;Germany;Borussia Mönchengladbach;€18M;Right;Delantero;13;83;74;67;70;74;60
O. Toprak;28;Turkey;Borussia Dortmund;€16M;Right;Defensa;36;71;71;83;64;70;78
D. Perotti;29;Argentina;Roma;€17.5M;Right;Centrocampista;8;88;86;76;83;51;36
F. Muslera;32;Uruguay;Galatasaray SK;€10M;Right;Portero;1;23;60;62;68;32;23
B. Höwedes;30;Germany;Lokomotiv Moscow;€13M;Right;Defensa;5;65;52;52;60;78;81
S. Kjær;29;Denmark;Sevilla FC;€14M;Right;Defensa;4;71;56;65;40;75;79
S. Bender;29;Germany;Bayer 04 Leverkusen;€14M;Right;Defensa;5;60;65;72;63;82;82
M. Valbuena;33;France;Fenerbahçe SK;€11M;Right;Centrocampista;28;82;81;79;86;52;34
Pedro León;31;Spain;SD Eibar;€15.5M;Right;Centrocampista;21;85;63;63;68;55;43
K. Boateng;31;Ghana;Sassuolo;€15M;Right;Centrocampista;27;84;67;65;77;83;71
L. Piszczek;33;Poland;Borussia Dortmund;€7M;Right;Lateral;26;76;74;83;66;83;83
A. Candreva;31;Italy;Inter;€15.5M;Right;Centrocampista;87;83;77;78;74;66;67
D. Wass;29;Denmark;Valencia CF;€17M;Right;Lateral;18;81;74;76;79;62;75
E. Lamela;26;Argentina;Tottenham Hotspur;€21M;Left;Centrocampista;22;84;76;74;75;84;45
D. Rose;27;England;Tottenham Hotspur;€14.5M;Left;Lateral;3;77;79;78;69;87;81
C. Vela;29;Mexico;Los Angeles FC;€17.5M;Left;Centrocampista;10;83;78;80;81;57;37
Renato Augusto;30;Brazil;Beijing Sinobo Guoan FC;€16.5M;Right;Centrocampista;5;81;66;67;66;58;72
A. Valencia;32;Ecuador;Manchester United;€10M;Right;Centrocampista;16;81;82;85;72;80;82
L. Fabia?ski;33;Poland;West Ham United;€9M;Right;Portero;22;22;50;47;52;43;16
João Moutinho;31;Portugal;Wolverhampton Wanderers;€15M;Right;Centrocampista;28;82;66;59;76;74;72
Borja Valero;33;Spain;Inter;€11M;Right;Centrocampista;20;88;55;52;74;52;70
F. Quagliarella;35;Italy;Sampdoria;€8M;Right;Delantero;27;81;73;67;71;44;26
B. Gomis;32;France;Al Hilal;€14M;Right;Delantero;18;79;69;70;59;52;38
Manuel Fernandes;32;Portugal;Lokomotiv Moscow;€14M;Right;Centrocampista;4;83;83;76;82;68;68
H. Herrera;28;Mexico;FC Porto;€17.5M;Right;Centrocampista;16;78;71;73;66;83;81
Raffael;33;Brazil;Borussia Mönchengladbach;€11M;Right;Delantero;11;85;74;66;83;66;45
Nani;31;Portugal;Sporting CP;€15.5M;Right;Centrocampista;17;86;77;74;92;61;31
J. Milner;32;England;Liverpool;€13.5M;Right;Centrocampista;7;79;63;62;69;82;79
J. Mathieu;34;France;Sporting CP;€5.5M;Left;Defensa;22;62;68;74;52;72;82
Joaquín;36;Spain;Real Betis;€6M;Right;Delantero;17;83;69;65;72;53;35
M. Gómez;21;Uruguay;RC Celta;€20.5M;Right;Delantero;18;77;61;65;45;65;21
K. Havertz;19;Germany;Bayer 04 Leverkusen;€22M;Left;Centrocampista;29;83;77;86;78;40;32
T. Ndombele;21;France;Olympique Lyonnais;€22.5M;Right;Centrocampista;17;84;84;76;83;81;73
H. Aouar;20;France;Olympique Lyonnais;€23.5M;Right;Centrocampista;8;82;79;79;81;69;66
Carlos Soler;21;Spain;Valencia CF;€21M;Right;Centrocampista;8;82;75;77;75;49;68
Odriozola;22;Spain;Real Madrid;€18.5M;Right;Lateral;19;77;80;82;78;63;75
M. Almirón;24;Paraguay;Atlanta United;€19.5M;Left;Centrocampista;10;79;90;89;86;65;50
Welington Dano;30;Brazil;Cruzeiro;€10.5M;Left;Lateral;5;78;78;80;83;69;77
Everton Andrão;34;Brazil;Fluminense;€4.5M;Right;Centrocampista;6;77;69;68;78;81;79
Oyarzabal;21;Spain;Real Sociedad;€21M;Left;Centrocampista;10;85;72;75;70;40;29
F. Balbuena;26;Paraguay;West Ham United;€15.5M;Right;Defensa;4;56;56;65;42;82;80
M. Marega;27;Mali;FC Porto;€16M;Right;Delantero;11;65;87;88;67;88;26
B. Pavard;22;France;VfB Stuttgart;€17.5M;Right;Lateral;2;77;69;73;68;72;84
W. Ndidi;21;Nigeria;Leicester City;€17M;Right;Centrocampista;25;75;73;73;67;85;84
A. Onana;22;Cameroon;Ajax;€14.5M;Right;Portero;1;38;64;62;68;29;15
G. Lo Celso;22;Argentina;Real Betis;€20M;Left;Centrocampista;20;82;72;75;81;65;65
M. Acuña;26;Argentina;Sporting CP;€12.5M;Left;Lateral;9;82;79;75;84;88;76
Rúben Neves;21;Portugal;Wolverhampton Wanderers;€20.5M;Right;Centrocampista;5;80;64;64;65;82;75
Mariano;24;Dominican Republic;Real Madrid;€20M;Right;Delantero;7;72;84;85;79;86;45
Raúl;28;Brazil;SC Braga;€12M;Left;Defensa;34;60;52;51;59;88;81
M. Caldara;24;Italy;Milan;€17.5M;Right;Defensa;33;63;65;69;58;76;82
M. Vecino;26;Uruguay;Inter;€14.5M;Right;Centrocampista;15;84;74;69;66;72;76
T. Bakayoko;23;France;Milan;€17M;Right;Centrocampista;14;77;67;69;64;87;80
M. Dahoud;22;Germany;Borussia Dortmund;€20M;Right;Centrocampista;19;83;78;67;87;68;76
Rafa;25;Portugal;SL Benfica;€18.5M;Right;Centrocampista;27;84;91;93;88;41;43
K. Baldé;23;Senegal;Inter;€20M;Right;Centrocampista;11;85;92;92;82;54;31
G. Rulli;26;Argentina;Real Sociedad;€14M;Right;Portero;23;15;54;48;58;26;21
F. Armani;31;Argentina;River Plate;€9M;Right;Portero;1;29;40;40;40;35;21
Rony Lopes;22;Portugal;AS Monaco;€20M;Left;Centrocampista;7;81;83;76;84;39;29
Santi Mina;22;Spain;Valencia CF;€20M;Right;Delantero;22;80;77;81;78;69;52
K. Demirbay;24;Germany;TSG 1899 Hoffenheim;€19.5M;Left;Centrocampista;10;84;67;67;77;69;57
Gayà;23;Spain;Valencia CF;€16.5M;Left;Lateral;3;81;86;87;79;73;74
André Gomes;24;Portugal;Everton;€19.5M;Right;Centrocampista;8;78;68;62;67;81;74
N. Tagliafico;25;Argentina;Ajax;€15M;Left;Lateral;3;74;85;86;79;78;77
M. Sanson;23;France;Olympique de Marseille;€19.5M;Right;Centrocampista;8;79;77;74;79;72;77
Pacheco;26;Spain;Deportivo Alavés;€13M;Left;Portero;1;14;48;42;62;27;26
E. Can;24;Germany;Juventus;€19.5M;Right;Centrocampista;23;81;69;73;73;85;81
H. Çalhano?lu;24;Turkey;Milan;€19.5M;Right;Centrocampista;10;86;73;69;78;57;61
M. Ginter;24;Germany;Borussia Mönchengladbach;€15.5M;Right;Centrocampista;4;72;55;69;55;69;80
M. Keane;25;England;Everton;€15.5M;Right;Defensa;4;69;58;65;59;68;80
T. Stepanenko;28;Ukraine;Shakhtar Donetsk;€12M;Left;Centrocampista;6;78;71;64;60;88;82
L. Shaw;22;England;Manchester United;€16.5M;Left;Lateral;23;80;83;85;74;76;77
Z. Feddal;28;Morocco;Real Betis;€12M;Left;Defensa;4;67;51;62;50;82;81
S. Haller;24;France;Eintracht Frankfurt;€19M;Right;Delantero;9;79;68;76;68;74;30
Bernard;25;Brazil;Everton;€17.5M;Right;Centrocampista;20;84;94;86;94;41;42
T. Inui;30;Japan;Real Betis;€14M;Right;Centrocampista;8;82;88;77;94;49;44
Portu;26;Spain;Girona FC;€17.5M;Right;Centrocampista;9;83;85;80;79;76;68
M. Batshuayi;24;Belgium;Valencia CF;€19.5M;Right;Delantero;21;80;77;76;75;63;23
T. Vaclík;29;Czech Republic;Sevilla FC;€11.5M;Right;Portero;1;20;34;35;32;29;22
N. Pope;26;England;Burnley;€13M;Right;Portero;23;24;50;47;36;36;21
Héctor Bellerín;23;Spain;Arsenal;€16.5M;Right;Lateral;2;78;94;91;82;72;77
P. Kade?ábek;26;Czech Republic;TSG 1899 Hoffenheim;€14M;Right;Centrocampista;2;77;78;78;66;78;72
J. Butland;25;England;Stoke City;€14M;Right;Portero;13;36;58;55;55;40;27
J. Vestergaard;25;Denmark;Southampton;€14.5M;Right;Defensa;3;54;35;38;29;84;83
J. Tarkowski;25;England;Burnley;€15.5M;Right;Defensa;5;70;55;63;58;79;79
Deulofeu;24;Spain;Watford;€18.5M;Right;Delantero;7;86;89;88;94;40;25
E. Dier;24;England;Tottenham Hotspur;€16.5M;Right;Centrocampista;4;70;62;68;52;91;81
J. Murillo;26;Colombia;Valencia CF;€16M;Right;Defensa;22;64;75;76;77;88;81
M. Badelj;29;Croatia;Lazio;€11.5M;Right;Centrocampista;25;80;55;56;68;76;80
Ismaily;28;Brazil;Shakhtar Donetsk;€11.5M;Left;Lateral;31;81;84;80;72;63;79
N. Schulz;25;Germany;TSG 1899 Hoffenheim;€14.5M;Left;Centrocampista;16;78;88;86;76;72;74
L. Digne;24;France;Everton;€16M;Left;Lateral;12;82;76;75;68;75;81
M. Uth;26;Germany;FC Schalke 04;€17.5M;Left;Delantero;7;78;77;76;74;61;39
Cristian Tello;26;Spain;Real Betis;€16M;Right;Centrocampista;11;81;92;89;82;48;26
D. Vida;29;Croatia;Be?ikta? JK;€11.5M;Right;Defensa;24;66;70;80;64;83;81
L. Muriel;27;Colombia;Sevilla FC;€17.5M;Right;Delantero;14;83;86;89;85;50;16
V. Aboubakar;26;Cameroon;FC Porto;€18M;Right;Delantero;9;80;76;83;72;77;33
A. Oxlade-Chamberlain;24;England;Liverpool;€19.5M;Right;Centrocampista;21;84;84;85;81;77;72
S. Aurier;25;Ivory Coast;Tottenham Hotspur;€15.5M;Right;Lateral;17;79;79;78;73;86;79
J. Matip;26;Cameroon;Liverpool;€15M;Right;Defensa;32;69;55;69;55;75;83
Y. Rakitskyi;28;Ukraine;Shakhtar Donetsk;€12M;Left;Defensa;44;73;69;72;68;84;82
Sergi Enrich;28;Spain;SD Eibar;€15.5M;Right;Delantero;9;80;60;65;70;66;42
A. Yarmolenko;28;Ukraine;West Ham United;€15M;Left;Centrocampista;20;83;69;76;73;76;54
Hugo Mallo;27;Spain;RC Celta;€13.5M;Right;Lateral;2;80;71;71;77;76;81
André Almeida;27;Portugal;SL Benfica;€12M;Right;Lateral;34;79;65;66;66;81;81
D. Didavi;28;Germany;VfB Stuttgart;€15M;Left;Centrocampista;10;83;70;67;75;70;51
R. Rodríguez;25;Switzerland;Milan;€15.5M;Left;Lateral;13;78;73;73;73;75;80
R. Pereyra;27;Argentina;Watford;€15.5M;Right;Centrocampista;7;84;75;76;75;66;70
Mario Gaspar;27;Spain;Villarreal CF;€12M;Right;Lateral;2;76;76;80;68;78;80
Maicon;29;Brazil;Galatasaray SK;€11.5M;Right;Defensa;3;60;52;60;33;88;79
D. Blind;28;Netherlands;Ajax;€12M;Left;Lateral;5;80;62;53;72;72;83
J. Zoet;27;Netherlands;PSV;€12.5M;Right;Portero;13;34;57;45;54;18;21
A. Ljaji?;26;Serbia;Be?ikta? JK;€17.5M;Right;Centrocampista;22;86;82;76;81;44;32
Canales;27;Spain;Real Betis;€15.5M;Left;Centrocampista;6;80;67;62;69;55;50
Iago Falqué;28;Spain;Torino;€15M;Left;Centrocampista;14;85;79;76;85;48;26
L. de Jong;27;Netherlands;PSV;€16M;Right;Delantero;19;76;53;57;58;52;38
Guaita;31;Spain;Crystal Palace;€9M;Right;Portero;31;24;51;52;63;24;27
Muniain;25;Spain;Athletic Club de Bilbao;€18.5M;Right;Centrocampista;10;83;83;75;88;66;45
Susaeta;30;Spain;Athletic Club de Bilbao;€14M;Right;Centrocampista;14;84;78;71;81;68;43
S. Rudy;28;Germany;FC Schalke 04;€12M;Right;Centrocampista;13;82;69;65;77;58;82
K. Trapp;27;Germany;Eintracht Frankfurt;€11.5M;Right;Portero;31;24;45;52;42;30;22
V. Wanyama;27;Kenya;Tottenham Hotspur;€14.5M;Right;Centrocampista;12;75;54;61;68;89;83
N. Nkoulou;28;Cameroon;Torino;€12M;Right;Defensa;18;74;72;72;68;76;80
R. Boudebouz;28;Algeria;Real Betis;€15M;Left;Centrocampista;10;80;75;73;78;58;32
Camacho;28;Spain;VfL Wolfsburg;€13.5M;Right;Centrocampista;4;75;63;55;68;85;86
S. Ulreich;29;Germany;FC Bayern München;€10M;Right;Portero;26;22;41;40;34;25;14
M. Musacchio;27;Argentina;Milan;€12.5M;Right;Defensa;22;67;69;71;73;76;84
C. Stuani;31;Uruguay;Girona FC;€13.5M;Right;Delantero;11;79;70;69;65;81;36
P. Gulácsi;28;Hungary;RB Leipzig;€10.5M;Right;Portero;1;25;42;44;41;34;23
Bruno;34;Spain;Villarreal CF;€7M;Left;Centrocampista;21;78;34;31;49;76;80
F. Delph;28;England;Manchester City;€11.5M;Left;Lateral;18;82;75;72;87;84;80
A. Lallana;30;England;Liverpool;€13.5M;Right;Centrocampista;20;85;70;69;78;76;64
Marcelo;31;Brazil;Olympique Lyonnais;€10M;Right;Defensa;6;65;54;54;49;83;81
S. Coleman;29;Republic of Ireland;Everton;€11M;Right;Centrocampista;2;78;77;75;73;78;80
Alexandre Pato;28;Brazil;Tianjin Quanjian FC;€15.5M;Right;Delantero;10;80;84;85;83;63;29
Antunes;31;Portugal;Getafe CF;€9.5M;Left;Lateral;3;80;76;79;76;75;80
Nacho Monreal;32;Spain;Arsenal;€8M;Left;Lateral;18;77;72;67;70;77;81
Beñat;31;Spain;Athletic Club de Bilbao;€12.5M;Right;Centrocampista;7;80;64;41;70;74;70
A. Fernández;32;Argentina;Beijing Renhe FC;€11M;Right;Centrocampista;8;81;69;71;75;80;77
K. Gameiro;31;France;Valencia CF;€13.5M;Right;Delantero;9;79;86;85;81;66;38
I. Piatti;33;Argentina;Montreal Impact;€9M;Right;Centrocampista;10;84;77;76;87;79;55
V. Birsa;31;Slovenia;Chievo Verona;€13M;Left;Centrocampista;10;86;70;74;68;55;49
S. Romero;31;Argentina;Manchester United;€9M;Right;Portero;1;40;47;44;52;33;21
D. Criscito;31;Italy;Genoa;€10M;Left;Defensa;4;73;78;77;68;79;77
D. Valeri;32;Argentina;Portland Timbers;€11.5M;Right;Delantero;8;82;62;60;72;53;36
D. Sturridge;28;England;Liverpool;€15.5M;Left;Delantero;15;80;72;78;74;60;22
Raúl García;31;Spain;Athletic Club de Bilbao;€13M;Right;Centrocampista;22;85;47;57;66;84;69
S. Defour;30;Belgium;Burnley;€13.5M;Right;Centrocampista;16;80;67;62;71;81;82
M. Škrtel;33;Slovakia;Fenerbahçe SK;€6M;Right;Defensa;37;57;49;62;49;82;79
S. Radu;31;Romania;Lazio;€10M;Left;Defensa;26;69;70;68;70;75;85
G. Cahill;32;England;Chelsea;€8.5M;Right;Defensa;24;61;42;48;51;85;78
L. Diarra;33;France;Paris Saint-Germain;€6M;Right;Centrocampista;19;80;69;69;79;77;80
L. Perrin;32;France;AS Saint-Étienne;€8.5M;Right;Defensa;24;73;62;63;63;77;83
Dante;34;Brazil;OGC Nice;€4.5M;Left;Defensa;31;74;38;41;52;74;79
A. Gignac;32;France;Tigres U.A.N.L.;€12M;Right;Delantero;10;73;73;68;66;80;51
M. Gómez;32;Germany;VfB Stuttgart;€12M;Right;Delantero;27;71;63;66;62;73;20
I. Akinfeev;32;Russia;PFC CSKA Moscow;€8.5M;Right;Portero;1;22;51;50;53;24;17
I. Denisov;34;Russia;Lokomotiv Moscow;€4.5M;Right;Centrocampista;27;78;67;65;77;88;80
Juanfran;33;Spain;Atlético Madrid;€5.5M;Right;Lateral;20;78;74;86;74;78;76
Diego López;36;Spain;RCD Espanyol;€2M;Right;Portero;13;23;34;52;48;36;16
Santi Cazorla;33;Spain;Villarreal CF;€8.5M;Right;Centrocampista;19;86;58;52;72;64;61
Jesús Navas;32;Spain;Sevilla FC;€11.5M;Right;Centrocampista;16;80;89;88;87;63;69
J. Mascherano;34;Argentina;Hebei China Fortune FC;€4.5M;Right;Centrocampista;14;80;69;62;72;88;85
A. Mirante;34;Italy;Roma;€6M;Right;Portero;83;25;44;43;50;32;17
D. Srna;36;Croatia;Cagliari;€1.7M;Right;Lateral;33;83;69;76;71;83;85
B. Schweinsteiger;33;Germany;Chicago Fire;€6M;Right;Defensa;31;78;36;37;61;77;77
Moyá;34;Spain;Real Sociedad;€6M;Right;Portero;13;24;46;34;54;22;11
W. Rooney;32;England;DC United;€12M;Right;Delantero;9;80;65;65;66;81;56
